"Your input","Epoch timestamp","Converted epoch (double-check your input!)"
2013-01-28T01:06:38+01:00,1359331598,Mon, 28 Jan 2013 00:06:38 +0000
2013-01-28T01:06:39+01:00,1359331599,Mon, 28 Jan 2013 00:06:39 +0000
2013-01-28T01:06:40+01:00,1359331600,Mon, 28 Jan 2013 00:06:40 +0000
2013-01-28T01:06:41+01:00,1359331601,Mon, 28 Jan 2013 00:06:41 +0000
2013-01-28T01:06:42+01:00,1359331602,Mon, 28 Jan 2013 00:06:42 +0000
2013-01-28T01:06:43+01:00,1359331603,Mon, 28 Jan 2013 00:06:43 +0000
2013-01-28T01:06:44+01:00,1359331604,Mon, 28 Jan 2013 00:06:44 +0000
2013-01-28T01:06:45+01:00,1359331605,Mon, 28 Jan 2013 00:06:45 +0000
2013-01-28T01:06:46+01:00,1359331606,Mon, 28 Jan 2013 00:06:46 +0000
2013-01-28T01:06:47+01:00,1359331607,Mon, 28 Jan 2013 00:06:47 +0000
2013-01-28T01:06:48+01:00,1359331608,Mon, 28 Jan 2013 00:06:48 +0000
2013-01-28T01:06:49+01:00,1359331609,Mon, 28 Jan 2013 00:06:49 +0000
2013-01-28T01:06:50+01:00,1359331610,Mon, 28 Jan 2013 00:06:50 +0000
2013-01-28T01:06:51+01:00,1359331611,Mon, 28 Jan 2013 00:06:51 +0000
2013-01-28T01:06:52+01:00,1359331612,Mon, 28 Jan 2013 00:06:52 +0000
2013-01-28T01:06:53+01:00,1359331613,Mon, 28 Jan 2013 00:06:53 +0000
2013-01-28T01:06:54+01:00,1359331614,Mon, 28 Jan 2013 00:06:54 +0000
2013-01-28T01:06:55+01:00,1359331615,Mon, 28 Jan 2013 00:06:55 +0000
2013-01-28T01:06:56+01:00,1359331616,Mon, 28 Jan 2013 00:06:56 +0000
2013-01-28T01:06:57+01:00,1359331617,Mon, 28 Jan 2013 00:06:57 +0000
2013-01-28T01:06:58+01:00,1359331618,Mon, 28 Jan 2013 00:06:58 +0000
2013-01-28T01:06:59+01:00,1359331619,Mon, 28 Jan 2013 00:06:59 +0000
