"Your input","Epoch timestamp","Converted epoch (double-check your input!)"
2013-01-28T00:33:18+01:00,1359329598,Sun, 27 Jan 2013 23:33:18 +0000
2013-01-28T00:33:19+01:00,1359329599,Sun, 27 Jan 2013 23:33:19 +0000
2013-01-28T00:33:20+01:00,1359329600,Sun, 27 Jan 2013 23:33:20 +0000
2013-01-28T00:33:21+01:00,1359329601,Sun, 27 Jan 2013 23:33:21 +0000
2013-01-28T00:33:22+01:00,1359329602,Sun, 27 Jan 2013 23:33:22 +0000
2013-01-28T00:33:23+01:00,1359329603,Sun, 27 Jan 2013 23:33:23 +0000
2013-01-28T00:33:24+01:00,1359329604,Sun, 27 Jan 2013 23:33:24 +0000
2013-01-28T00:33:25+01:00,1359329605,Sun, 27 Jan 2013 23:33:25 +0000
2013-01-28T00:33:26+01:00,1359329606,Sun, 27 Jan 2013 23:33:26 +0000
2013-01-28T00:33:27+01:00,1359329607,Sun, 27 Jan 2013 23:33:27 +0000
2013-01-28T00:33:28+01:00,1359329608,Sun, 27 Jan 2013 23:33:28 +0000
2013-01-28T00:33:29+01:00,1359329609,Sun, 27 Jan 2013 23:33:29 +0000
2013-01-28T00:33:30+01:00,1359329610,Sun, 27 Jan 2013 23:33:30 +0000
2013-01-28T00:33:31+01:00,1359329611,Sun, 27 Jan 2013 23:33:31 +0000
2013-01-28T00:33:32+01:00,1359329612,Sun, 27 Jan 2013 23:33:32 +0000
2013-01-28T00:33:33+01:00,1359329613,Sun, 27 Jan 2013 23:33:33 +0000
2013-01-28T00:33:34+01:00,1359329614,Sun, 27 Jan 2013 23:33:34 +0000
2013-01-28T00:33:35+01:00,1359329615,Sun, 27 Jan 2013 23:33:35 +0000
2013-01-28T00:33:36+01:00,1359329616,Sun, 27 Jan 2013 23:33:36 +0000
2013-01-28T00:33:37+01:00,1359329617,Sun, 27 Jan 2013 23:33:37 +0000
2013-01-28T00:33:38+01:00,1359329618,Sun, 27 Jan 2013 23:33:38 +0000
2013-01-28T00:33:39+01:00,1359329619,Sun, 27 Jan 2013 23:33:39 +0000
2013-01-28T00:33:40+01:00,1359329620,Sun, 27 Jan 2013 23:33:40 +0000
2013-01-28T00:33:41+01:00,1359329621,Sun, 27 Jan 2013 23:33:41 +0000
2013-01-28T00:33:42+01:00,1359329622,Sun, 27 Jan 2013 23:33:42 +0000
2013-01-28T00:33:43+01:00,1359329623,Sun, 27 Jan 2013 23:33:43 +0000
2013-01-28T00:33:44+01:00,1359329624,Sun, 27 Jan 2013 23:33:44 +0000
2013-01-28T00:33:45+01:00,1359329625,Sun, 27 Jan 2013 23:33:45 +0000
2013-01-28T00:33:46+01:00,1359329626,Sun, 27 Jan 2013 23:33:46 +0000
2013-01-28T00:33:47+01:00,1359329627,Sun, 27 Jan 2013 23:33:47 +0000
2013-01-28T00:33:48+01:00,1359329628,Sun, 27 Jan 2013 23:33:48 +0000
2013-01-28T00:33:49+01:00,1359329629,Sun, 27 Jan 2013 23:33:49 +0000
2013-01-28T00:33:50+01:00,1359329630,Sun, 27 Jan 2013 23:33:50 +0000
2013-01-28T00:33:51+01:00,1359329631,Sun, 27 Jan 2013 23:33:51 +0000
2013-01-28T00:33:52+01:00,1359329632,Sun, 27 Jan 2013 23:33:52 +0000
2013-01-28T00:33:53+01:00,1359329633,Sun, 27 Jan 2013 23:33:53 +0000
2013-01-28T00:33:54+01:00,1359329634,Sun, 27 Jan 2013 23:33:54 +0000
2013-01-28T00:33:55+01:00,1359329635,Sun, 27 Jan 2013 23:33:55 +0000
2013-01-28T00:33:56+01:00,1359329636,Sun, 27 Jan 2013 23:33:56 +0000
2013-01-28T00:33:57+01:00,1359329637,Sun, 27 Jan 2013 23:33:57 +0000
2013-01-28T00:33:58+01:00,1359329638,Sun, 27 Jan 2013 23:33:58 +0000
2013-01-28T00:33:59+01:00,1359329639,Sun, 27 Jan 2013 23:33:59 +0000
2013-01-28T00:34:00+01:00,1359329640,Sun, 27 Jan 2013 23:34:00 +0000
2013-01-28T00:34:01+01:00,1359329641,Sun, 27 Jan 2013 23:34:01 +0000
2013-01-28T00:34:02+01:00,1359329642,Sun, 27 Jan 2013 23:34:02 +0000
2013-01-28T00:34:03+01:00,1359329643,Sun, 27 Jan 2013 23:34:03 +0000
2013-01-28T00:34:04+01:00,1359329644,Sun, 27 Jan 2013 23:34:04 +0000
2013-01-28T00:34:05+01:00,1359329645,Sun, 27 Jan 2013 23:34:05 +0000
2013-01-28T00:34:06+01:00,1359329646,Sun, 27 Jan 2013 23:34:06 +0000
2013-01-28T00:34:07+01:00,1359329647,Sun, 27 Jan 2013 23:34:07 +0000
2013-01-28T00:34:08+01:00,1359329648,Sun, 27 Jan 2013 23:34:08 +0000
2013-01-28T00:34:09+01:00,1359329649,Sun, 27 Jan 2013 23:34:09 +0000
2013-01-28T00:34:10+01:00,1359329650,Sun, 27 Jan 2013 23:34:10 +0000
2013-01-28T00:34:11+01:00,1359329651,Sun, 27 Jan 2013 23:34:11 +0000
2013-01-28T00:34:12+01:00,1359329652,Sun, 27 Jan 2013 23:34:12 +0000
2013-01-28T00:34:13+01:00,1359329653,Sun, 27 Jan 2013 23:34:13 +0000
2013-01-28T00:34:14+01:00,1359329654,Sun, 27 Jan 2013 23:34:14 +0000
2013-01-28T00:34:15+01:00,1359329655,Sun, 27 Jan 2013 23:34:15 +0000
2013-01-28T00:34:16+01:00,1359329656,Sun, 27 Jan 2013 23:34:16 +0000
2013-01-28T00:34:17+01:00,1359329657,Sun, 27 Jan 2013 23:34:17 +0000
2013-01-28T00:34:18+01:00,1359329658,Sun, 27 Jan 2013 23:34:18 +0000
2013-01-28T00:34:19+01:00,1359329659,Sun, 27 Jan 2013 23:34:19 +0000
2013-01-28T00:34:20+01:00,1359329660,Sun, 27 Jan 2013 23:34:20 +0000
2013-01-28T00:34:21+01:00,1359329661,Sun, 27 Jan 2013 23:34:21 +0000
2013-01-28T00:34:22+01:00,1359329662,Sun, 27 Jan 2013 23:34:22 +0000
2013-01-28T00:34:23+01:00,1359329663,Sun, 27 Jan 2013 23:34:23 +0000
2013-01-28T00:34:24+01:00,1359329664,Sun, 27 Jan 2013 23:34:24 +0000
2013-01-28T00:34:25+01:00,1359329665,Sun, 27 Jan 2013 23:34:25 +0000
2013-01-28T00:34:26+01:00,1359329666,Sun, 27 Jan 2013 23:34:26 +0000
2013-01-28T00:34:27+01:00,1359329667,Sun, 27 Jan 2013 23:34:27 +0000
2013-01-28T00:34:28+01:00,1359329668,Sun, 27 Jan 2013 23:34:28 +0000
2013-01-28T00:34:29+01:00,1359329669,Sun, 27 Jan 2013 23:34:29 +0000
2013-01-28T00:34:30+01:00,1359329670,Sun, 27 Jan 2013 23:34:30 +0000
2013-01-28T00:34:31+01:00,1359329671,Sun, 27 Jan 2013 23:34:31 +0000
2013-01-28T00:34:32+01:00,1359329672,Sun, 27 Jan 2013 23:34:32 +0000
2013-01-28T00:34:33+01:00,1359329673,Sun, 27 Jan 2013 23:34:33 +0000
2013-01-28T00:34:34+01:00,1359329674,Sun, 27 Jan 2013 23:34:34 +0000
2013-01-28T00:34:35+01:00,1359329675,Sun, 27 Jan 2013 23:34:35 +0000
2013-01-28T00:34:36+01:00,1359329676,Sun, 27 Jan 2013 23:34:36 +0000
2013-01-28T00:34:37+01:00,1359329677,Sun, 27 Jan 2013 23:34:37 +0000
2013-01-28T00:34:38+01:00,1359329678,Sun, 27 Jan 2013 23:34:38 +0000
