"Your input","Epoch timestamp","Converted epoch (double-check your input!)"
2013-01-28T00:00:00+01:00,1359327600,Sun, 27 Jan 2013 23:00:00 +0000
2013-01-28T00:00:01+01:00,1359327601,Sun, 27 Jan 2013 23:00:01 +0000
2013-01-28T00:00:02+01:00,1359327602,Sun, 27 Jan 2013 23:00:02 +0000
2013-01-28T00:00:03+01:00,1359327603,Sun, 27 Jan 2013 23:00:03 +0000
2013-01-28T00:00:04+01:00,1359327604,Sun, 27 Jan 2013 23:00:04 +0000
2013-01-28T00:00:05+01:00,1359327605,Sun, 27 Jan 2013 23:00:05 +0000
2013-01-28T00:00:06+01:00,1359327606,Sun, 27 Jan 2013 23:00:06 +0000
2013-01-28T00:00:07+01:00,1359327607,Sun, 27 Jan 2013 23:00:07 +0000
2013-01-28T00:00:08+01:00,1359327608,Sun, 27 Jan 2013 23:00:08 +0000
2013-01-28T00:00:09+01:00,1359327609,Sun, 27 Jan 2013 23:00:09 +0000
2013-01-28T00:00:10+01:00,1359327610,Sun, 27 Jan 2013 23:00:10 +0000
2013-01-28T00:00:11+01:00,1359327611,Sun, 27 Jan 2013 23:00:11 +0000
2013-01-28T00:00:12+01:00,1359327612,Sun, 27 Jan 2013 23:00:12 +0000
2013-01-28T00:00:13+01:00,1359327613,Sun, 27 Jan 2013 23:00:13 +0000
2013-01-28T00:00:14+01:00,1359327614,Sun, 27 Jan 2013 23:00:14 +0000
2013-01-28T00:00:15+01:00,1359327615,Sun, 27 Jan 2013 23:00:15 +0000
2013-01-28T00:00:16+01:00,1359327616,Sun, 27 Jan 2013 23:00:16 +0000
2013-01-28T00:00:17+01:00,1359327617,Sun, 27 Jan 2013 23:00:17 +0000
2013-01-28T00:00:18+01:00,1359327618,Sun, 27 Jan 2013 23:00:18 +0000
2013-01-28T00:00:19+01:00,1359327619,Sun, 27 Jan 2013 23:00:19 +0000
2013-01-28T00:00:20+01:00,1359327620,Sun, 27 Jan 2013 23:00:20 +0000
2013-01-28T00:00:21+01:00,1359327621,Sun, 27 Jan 2013 23:00:21 +0000
2013-01-28T00:00:22+01:00,1359327622,Sun, 27 Jan 2013 23:00:22 +0000
2013-01-28T00:00:23+01:00,1359327623,Sun, 27 Jan 2013 23:00:23 +0000
2013-01-28T00:00:24+01:00,1359327624,Sun, 27 Jan 2013 23:00:24 +0000
2013-01-28T00:00:25+01:00,1359327625,Sun, 27 Jan 2013 23:00:25 +0000
2013-01-28T00:00:26+01:00,1359327626,Sun, 27 Jan 2013 23:00:26 +0000
2013-01-28T00:00:27+01:00,1359327627,Sun, 27 Jan 2013 23:00:27 +0000
2013-01-28T00:00:28+01:00,1359327628,Sun, 27 Jan 2013 23:00:28 +0000
2013-01-28T00:00:29+01:00,1359327629,Sun, 27 Jan 2013 23:00:29 +0000
2013-01-28T00:00:30+01:00,1359327630,Sun, 27 Jan 2013 23:00:30 +0000
2013-01-28T00:00:31+01:00,1359327631,Sun, 27 Jan 2013 23:00:31 +0000
2013-01-28T00:00:32+01:00,1359327632,Sun, 27 Jan 2013 23:00:32 +0000
2013-01-28T00:00:33+01:00,1359327633,Sun, 27 Jan 2013 23:00:33 +0000
2013-01-28T00:00:34+01:00,1359327634,Sun, 27 Jan 2013 23:00:34 +0000
2013-01-28T00:00:35+01:00,1359327635,Sun, 27 Jan 2013 23:00:35 +0000
2013-01-28T00:00:36+01:00,1359327636,Sun, 27 Jan 2013 23:00:36 +0000
2013-01-28T00:00:37+01:00,1359327637,Sun, 27 Jan 2013 23:00:37 +0000
2013-01-28T00:00:38+01:00,1359327638,Sun, 27 Jan 2013 23:00:38 +0000
2013-01-28T00:00:39+01:00,1359327639,Sun, 27 Jan 2013 23:00:39 +0000
2013-01-28T00:00:40+01:00,1359327640,Sun, 27 Jan 2013 23:00:40 +0000
2013-01-28T00:00:41+01:00,1359327641,Sun, 27 Jan 2013 23:00:41 +0000
2013-01-28T00:00:42+01:00,1359327642,Sun, 27 Jan 2013 23:00:42 +0000
2013-01-28T00:00:43+01:00,1359327643,Sun, 27 Jan 2013 23:00:43 +0000
2013-01-28T00:00:44+01:00,1359327644,Sun, 27 Jan 2013 23:00:44 +0000
2013-01-28T00:00:45+01:00,1359327645,Sun, 27 Jan 2013 23:00:45 +0000
2013-01-28T00:00:46+01:00,1359327646,Sun, 27 Jan 2013 23:00:46 +0000
2013-01-28T00:00:47+01:00,1359327647,Sun, 27 Jan 2013 23:00:47 +0000
2013-01-28T00:00:48+01:00,1359327648,Sun, 27 Jan 2013 23:00:48 +0000
2013-01-28T00:00:49+01:00,1359327649,Sun, 27 Jan 2013 23:00:49 +0000
2013-01-28T00:00:50+01:00,1359327650,Sun, 27 Jan 2013 23:00:50 +0000
2013-01-28T00:00:51+01:00,1359327651,Sun, 27 Jan 2013 23:00:51 +0000
2013-01-28T00:00:52+01:00,1359327652,Sun, 27 Jan 2013 23:00:52 +0000
2013-01-28T00:00:53+01:00,1359327653,Sun, 27 Jan 2013 23:00:53 +0000
2013-01-28T00:00:54+01:00,1359327654,Sun, 27 Jan 2013 23:00:54 +0000
2013-01-28T00:00:55+01:00,1359327655,Sun, 27 Jan 2013 23:00:55 +0000
2013-01-28T00:00:56+01:00,1359327656,Sun, 27 Jan 2013 23:00:56 +0000
2013-01-28T00:00:57+01:00,1359327657,Sun, 27 Jan 2013 23:00:57 +0000
2013-01-28T00:00:58+01:00,1359327658,Sun, 27 Jan 2013 23:00:58 +0000
2013-01-28T00:00:59+01:00,1359327659,Sun, 27 Jan 2013 23:00:59 +0000
2013-01-28T00:01:00+01:00,1359327660,Sun, 27 Jan 2013 23:01:00 +0000
2013-01-28T00:01:01+01:00,1359327661,Sun, 27 Jan 2013 23:01:01 +0000
2013-01-28T00:01:02+01:00,1359327662,Sun, 27 Jan 2013 23:01:02 +0000
